"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.04780501151858e-62,-0.716775440593744,0.187,0.314,1.13686843749766e-58,"NAV2"
8.00842453811139e-110,-0.725724225166968,0.286,0.48,8.68914062385086e-106,"FHIT"
1.1470591960792e-68,-0.743350620468275,0.167,0.3,1.24455922774594e-64,"LPP"
1.93682251840507e-72,-0.745307224918469,0.203,0.343,2.1014524324695e-68,"NFIB"
5.93925511655397e-34,-0.765005638159072,0.181,0.264,6.44409180146106e-30,"CSMD3"
4.92228383201703e-56,-0.771624807779319,0.163,0.276,5.34067795773847e-52,"MEIS2"
2.1799962402501e-69,-0.795816688383783,0.249,0.388,2.36529592067136e-65,"DLC1"
4.35331893673402e-72,-0.799846057653179,0.174,0.307,4.72335104635642e-68,"GALNT13"
2.97998166756749e-76,-0.817243315750436,0.178,0.318,3.23328010931073e-72,"GRIA2"
3.81189963823542e-64,-0.819678108303195,0.153,0.276,4.13591110748543e-60,"IMMP2L"
6.81117344157423e-193,-0.828609780057709,0.548,0.761,7.39012318410804e-189,"ERBB4"
5.67646482190922e-76,-0.829802166692818,0.127,0.256,6.1589643317715e-72,"PARD3"
9.65529948744678e-96,-0.863394772725741,0.206,0.371,1.04759999438798e-91,"PRKCA"
3.92061551533118e-201,-0.864640260405554,0.589,0.782,4.25386783413433e-197,"NPAS3"
7.08770979033382e-48,-0.870703799296277,0.162,0.263,7.69016512251219e-44,"PDE1A"
6.98592126747305e-48,-0.872549074946844,0.159,0.258,7.57972457520826e-44,"PPP1R14A"
7.92310853613488e-78,-0.888792580451305,0.144,0.278,8.59657276170634e-74,"ESRRG"
1.18508745361851e-71,-0.922246162720384,0.129,0.252,1.28581988717609e-67,"ADCY2"
4.32079512243619e-85,-0.934217478418378,0.149,0.292,4.68806270784326e-81,"SMYD3"
3.3928179935017e-100,-0.93713771053326,0.178,0.341,3.68120752294934e-96,"TRPS1"
3.21403579987275e-171,-0.941221277672347,0.335,0.568,3.48722884286193e-167,"ADGRL3"
7.7532963297359e-92,-0.962296881826711,0.153,0.302,8.41232651776345e-88,"PBX1"
3.46093065254788e-86,-1.0009006127571,0.136,0.274,3.75510975801445e-82,"SYNE1"
3.81889746393887e-105,-1.00167791770978,0.189,0.355,4.14350374837368e-101,"MAPK10"
1.84461444925865e-142,-1.0195246733704,0.225,0.433,2.00140667744563e-138,"MAML2"
3.63051400147696e-90,-1.02782527643152,0.131,0.273,3.9391076916025e-86,"S100B"
5.29731144362818e-101,-1.03658534180402,0.314,0.476,5.74758291633658e-97,"SLC1A3"
1.56546470851557e-114,-1.0383957973352,0.131,0.297,1.69852920873939e-110,"CELF2"
2.98924772067359e-80,-1.04486881594476,0.149,0.283,3.24333377693084e-76,"RBFOX1"
4.72866047417623e-79,-1.0462211292432,0.124,0.252,5.13059661448121e-75,"TTYH1"
7.30002901299946e-82,-1.05401772264895,0.121,0.251,7.92053147910442e-78,"FOXN3"
3.55773100782809e-125,-1.05492156915787,0.178,0.362,3.86013814349348e-121,"NAALADL2"
8.3021843742012e-272,-1.05659469650632,0.511,0.75,9.00787004600831e-268,"LRP1B"
3.54516585811957e-94,-1.07733146961228,0.138,0.283,3.84650495605973e-90,"LMCD1-AS1"
2.40581863502225e-98,-1.08326957860513,0.147,0.298,2.61031321899914e-94,"ZFYVE16"
1.83939108563459e-109,-1.09691170520006,0.128,0.286,1.99573932791353e-105,"PLCB1"
1.30523056738719e-126,-1.11440501477303,0.169,0.351,1.41617516561511e-122,"CNTN1"
2.37581307585587e-225,-1.12241945039143,0.338,0.597,2.57775718730362e-221,"MIR99AHG"
2.76335908847849e-158,-1.12962513049007,0.211,0.424,2.99824461099916e-154,"DTNA"
2.29639376529307e-54,-1.13550277106411,0.204,0.312,2.49158723534298e-50,"KCNIP4"
1.1629190728475e-94,-1.13964250142504,0.132,0.275,1.26176719403953e-90,"DLGAP1"
3.5967327250585e-105,-1.14740782960818,0.134,0.287,3.90245500668847e-101,"PCDH9-AS2"
4.86199954125864e-96,-1.1596681252978,0.122,0.264,5.27526950226562e-92,"PARD3B"
3.77099249641087e-145,-1.16351914938645,0.136,0.328,4.09152685860579e-141,"NRCAM"
2.05997243192975e-79,-1.19067303946027,0.195,0.328,2.23507008864378e-75,"LRRTM4"
1.43434264047224e-132,-1.21449881765732,0.131,0.309,1.55626176491238e-128,"MACROD2"
1.52952076651086e-267,-1.23262312397304,0.356,0.631,1.65953003166429e-263,"CTNND2"
1.31531306770124e-149,-1.23395593282663,0.156,0.355,1.42711467845584e-145,"ITPR2"
9.57676546303647e-122,-1.23499305289224,0.11,0.272,1.03907905273946e-117,"GRAMD3"
1.75118558804572e-65,-1.2443961936194,0.2,0.316,1.9000363630296e-61,"CSMD1"
